,name,link,industry,location
9650,Glacier Filtration Pty Ltd,https://au.linkedin.com/company/glacierfiltration,Industrial Machinery Manufacturing,"Condobolin, NSW"
9651,Water Dynamics,https://au.linkedin.com/company/water-dynamics,Farming,"Seven Hills, New South Wales"
9652,Netafim Australia and New Zealand,https://au.linkedin.com/company/netafim-australia-and-new-zealand,Farming,"Laverton North, Victoria"
9653,Pickles Auctions,https://au.linkedin.com/company/pickles-auctions,Wholesale,"Belmore, NSW"
9655,3 Monkeys Audiovisual,https://au.linkedin.com/company/3-monkeys-audiovisual,"Appliances, Electrical, and Electronics Manufacturing","West Perth, Western Australia"
9656,Elphinstone Group (Aust) Pty Ltd,https://au.linkedin.com/company/elphinstone-group-aust-pty-ltd,Executive Offices,
9657,Sprout Strategy,https://au.linkedin.com/company/sproutstrategy,Market Research,"Nundah, Queensland"
9658,The Big Group,https://au.linkedin.com/company/the-big-group,Events Services,"Richmond, Victoria"
9662,WA Good Food Guide,https://au.linkedin.com/company/wagoodfoodguide,Book and Periodical Publishing,"Perth, WA"
9663,emagineer,https://au.linkedin.com/company/emagineer,Computer Games,"Melbourne, Vic"
9664,Gourmet Traveller WINE,https://au.linkedin.com/company/gourmet-traveller-wine,Book and Periodical Publishing,"Sydney, New South Wales"
9665,Fairfax Media,https://au.linkedin.com/company/fairfax-media,Online Audio and Video Media,"Sydney, New South Wales"
9666,Walter's Steakhouse and Wine Bar,https://au.linkedin.com/company/walter-s-steakhouse,Restaurants,"Brisbane City, Queensland"
9667,Hillstone St Lucia,https://au.linkedin.com/company/hillstone-st-lucia,Hospitality,
9668,JKLP Group,https://au.linkedin.com/company/jklp-group,Hospitality,"Ripponlea, Victoria"
9669,MSP Photography Pty Ltd,https://au.linkedin.com/company/msp-photography-pty-ltd,Photography,"Wagga Wagga, New South Wales"
9670,Theatre Royal Sydney,https://au.linkedin.com/company/theatre-royal-sydney,Performing Arts,"Sydney, New South Wales"
9671,Business in Heels,https://au.linkedin.com/company/business-in-heels,Business Skills Training,"Geelong West, Victoria"
9672,Queensland Centre for Mental Health Research,https://au.linkedin.com/company/qcmhr,Research,"Wacol, QLD"
9673,Life Education Queensland,https://au.linkedin.com/company/life-education-qld,Nonprofit Organization Management,"Nerang, Queensland"
9675,Public Health Association of Australia,https://au.linkedin.com/company/public-health-association-of-australia,"Health, Wellness and Fitness","Canberra, ACT"
9676,COTA Queensland,https://au.linkedin.com/company/cotaqld,Nonprofit Organization Management,"Brisbane, QLD"
